station_id,station_name,latitude,longitude,city,state
GHMC-11,"In front of IT Park, Sanathnagar",17.456776,78.442947,Hyderabad,Telangana
GHMC-17,"Krishna Kanth Park, Yousufguda",17.441240,78.431824,Hyderabad,Telangana
GHMC-35,"KBR Park Gate No. 3",17.425592,78.418813,Hyderabad,Telangana
GHMC-48,"KBR Park Gate No. 4, Jubilee Hills",17.4238285,78.4127574,Hyderabad,Telangana
GHMC-50,"KPHB 4th Phase, Butterfly Park, Kukatpally",17.476926,78.393857,Hyderabad,Telangana
GHMC-51,"Opposite Yellammakunta Lake",17.499653,78.408455,Hyderabad,Telangana
GHMC-52,"Pragathi Nagar Lake Parking",17.508206,78.396122,Hyderabad,Telangana
GHMC-57,"Usha Mullapudi to Gajularamaram Road",17.524278,78.424347,Hyderabad,Telangana
GHMC-58,"IDL Lake opposite Ashoka Mall",17.479856,78.416919,Hyderabad,Telangana
GHMC-59,"Rainbow Vistas Green Hills Road, Kukatpally",17.523904,78.415953,Hyderabad,Telangana
GHMC-60,"Kukatpally-KPHB Main Road, Pillar 772",17.491292,78.406582,Hyderabad,Telangana
GHMC-62,"KPHB Road No. 1, Kukatpally",17.485133,78.399445,Hyderabad,Telangana
