algorithm,episode,timesteps,episode_reward
A2C,1,75,5914.93115234375
A2C,2,150,6102.943008422852
A2C,3,225,6171.158962249756
A2C,4,300,5961.685649871826
A2C,5,375,6096.433650970459
A2C,6,450,6081.138965606689
A2C,7,525,5931.690990447998
A2C,8,600,5694.459201812744
A2C,9,675,6061.962188720703
A2C,10,750,5950.496643066406
A2C,11,825,6072.053291320801
A2C,12,900,5841.327526092529
A2C,13,975,6020.244777679443
A2C,14,1050,6095.032814025879
A2C,15,1125,6086.368835449219
A2C,16,1200,5545.414253234863
A2C,17,1275,5450.760902404785
A2C,18,1350,5995.923137664795
A2C,19,1425,5587.0936851501465
A2C,20,1500,5553.1040687561035
A2C,21,1575,5969.813636779785
A2C,22,1650,6056.9915199279785
A2C,23,1725,6127.034328460693
A2C,24,1800,6138.841445922852
A2C,25,1875,5807.623687744141
A2C,26,1950,6067.739837646484
A2C,27,2025,5593.372581481934
A2C,28,2100,5481.739910125732
A2C,29,2175,6108.858451843262
A2C,30,2250,5664.837005615234
A2C,31,2325,6105.125205993652
A2C,32,2400,5893.3871994018555
A2C,33,2475,5957.769683837891
A2C,34,2550,5593.9440994262695
A2C,35,2625,5874.273571014404
A2C,36,2700,5872.106678009033
A2C,37,2775,5627.848972320557
A2C,38,2850,5433.001373291016
A2C,39,2925,5905.362499237061
A2C,40,3000,5973.188766479492
A2C,41,3075,6021.335186004639
A2C,42,3150,5984.684539794922
A2C,43,3225,5908.134986877441
A2C,44,3300,6080.741222381592
A2C,45,3375,6125.4326820373535
A2C,46,3450,5976.223560333252
A2C,47,3525,5705.767021179199
A2C,48,3600,5831.836753845215
A2C,49,3675,5925.126312255859
A2C,50,3750,6034.892730712891
A2C,51,3825,5575.303234100342
A2C,52,3900,5907.520351409912
A2C,53,3975,5927.143112182617
A2C,54,4050,6004.208801269531
A2C,55,4125,5796.8289794921875
A2C,56,4200,5943.597366333008
A2C,57,4275,5605.030090332031
A2C,58,4350,5894.44860458374
A2C,59,4425,5689.562202453613
A2C,60,4500,5809.261505126953
A2C,61,4575,5743.582565307617
A2C,62,4650,5539.392322540283
A2C,63,4725,6213.88826751709
A2C,64,4800,5538.483249664307
A2C,65,4875,5992.790306091309
A2C,66,4950,5556.675514221191
A2C,67,5025,6061.116050720215
A2C,68,5100,6122.28475189209
A2C,69,5175,5791.6020431518555
A2C,70,5250,6009.110122680664
A2C,71,5325,6080.952056884766
A2C,72,5400,6040.558769226074
A2C,73,5475,5879.619194030762
A2C,74,5550,6013.882186889648
A2C,75,5625,5733.483478546143
A2C,76,5700,5904.43673324585
A2C,77,5775,6004.258434295654
A2C,78,5850,5926.780918121338
A2C,79,5925,5955.950939178467
A2C,80,6000,5949.502159118652
A2C,81,6075,6025.897548675537
A2C,82,6150,5818.177200317383
A2C,83,6225,6138.001159667969
A2C,84,6300,6023.459754943848
A2C,85,6375,5958.725040435791
A2C,86,6450,5930.4743576049805
A2C,87,6525,6016.08614730835
A2C,88,6600,5944.882049560547
A2C,89,6675,6032.951011657715
A2C,90,6750,5928.124668121338
A2C,91,6825,5791.104759216309
A2C,92,6900,5956.069259643555
A2C,93,6975,5429.266304016113
A2C,94,7050,6048.408306121826
A2C,95,7125,5476.7836990356445
A2C,96,7200,5534.460273742676
A2C,97,7275,6005.99377822876
A2C,98,7350,6042.770973205566
A2C,99,7425,5643.024917602539
A2C,100,7500,6010.317474365234
A2C,101,7575,5870.984809875488
A2C,102,7650,5907.811676025391
A2C,103,7725,5613.078701019287
A2C,104,7800,5651.18217086792
A2C,105,7875,5977.259353637695
A2C,106,7950,5674.568977355957
A2C,107,8025,5907.977382659912
A2C,108,8100,6017.766159057617
A2C,109,8175,5893.369789123535
A2C,110,8250,5644.790843963623
A2C,111,8325,5582.688892364502
A2C,112,8400,5577.66930770874
A2C,113,8475,5586.069530487061
A2C,114,8550,6018.038520812988
A2C,115,8625,5817.175628662109
A2C,116,8700,5894.411796569824
A2C,117,8775,5616.227321624756
A2C,118,8850,5760.5215492248535
A2C,119,8925,5778.560729980469
A2C,120,9000,5509.689338684082
A2C,121,9075,5549.605331420898
A2C,122,9150,5935.496910095215
A2C,123,9225,5590.326950073242
A2C,124,9300,5871.159580230713
A2C,125,9375,5959.450904846191
A2C,126,9450,5897.816123962402
A2C,127,9525,5624.27384185791
A2C,128,9600,5740.984996795654
A2C,129,9675,5872.447814941406
A2C,130,9750,5900.739231109619
A2C,131,9825,5859.5825271606445
A2C,132,9900,5775.024654388428
A2C,133,9975,5903.294918060303
