algorithm,episode,timesteps,episode_reward
DQN,1,75,6011.22802734375
DQN,2,150,5813.004447937012
DQN,3,225,6040.539505004883
DQN,4,300,6092.063121795654
DQN,5,375,6061.709590911865
DQN,6,450,6029.770492553711
DQN,7,525,6029.656055450439
DQN,8,600,5912.141082763672
DQN,9,675,6100.999652862549
DQN,10,750,6118.897155761719
DQN,11,825,6239.374717712402
DQN,12,900,6225.630531311035
DQN,13,975,6331.813415527344
DQN,14,1050,6311.298675537109
DQN,15,1125,6316.116050720215
DQN,16,1200,5870.28645324707
DQN,17,1275,5891.899337768555
DQN,18,1350,6217.866226196289
DQN,19,1425,5973.65412902832
DQN,20,1500,6006.278846740723
DQN,21,1575,6248.491485595703
DQN,22,1650,6220.748565673828
DQN,23,1725,6234.879806518555
DQN,24,1800,6302.511497497559
DQN,25,1875,6245.847816467285
DQN,26,1950,6333.742782592773
DQN,27,2025,5997.314979553223
DQN,28,2100,5840.463397979736
DQN,29,2175,6288.159385681152
DQN,30,2250,5973.641387939453
DQN,31,2325,6283.609321594238
DQN,32,2400,6218.771133422852
DQN,33,2475,6281.195610046387
DQN,34,2550,5907.218536376953
DQN,35,2625,6221.621231079102
DQN,36,2700,6256.701469421387
DQN,37,2775,5984.720527648926
DQN,38,2850,5886.163818359375
DQN,39,2925,6225.513702392578
DQN,40,3000,6298.856971740723
DQN,41,3075,6272.0993576049805
DQN,42,3150,6182.20361328125
DQN,43,3225,6295.755027770996
DQN,44,3300,6234.427257537842
DQN,45,3375,6341.620010375977
DQN,46,3450,6283.000205993652
DQN,47,3525,5969.536586761475
DQN,48,3600,5983.768005371094
DQN,49,3675,6237.845596313477
DQN,50,3750,6336.927604675293
DQN,51,3825,5924.610687255859
DQN,52,3900,6195.633224487305
DQN,53,3975,6178.9161376953125
DQN,54,4050,6328.805702209473
DQN,55,4125,6316.839637756348
DQN,56,4200,6313.694877624512
DQN,57,4275,5981.427513122559
DQN,58,4350,6246.650970458984
DQN,59,4425,5990.770172119141
DQN,60,4500,6253.834426879883
DQN,61,4575,5993.821075439453
DQN,62,4650,5888.222999572754
DQN,63,4725,6320.087615966797
DQN,64,4800,5896.073833465576
DQN,65,4875,6279.235252380371
DQN,66,4950,5947.238243103027
DQN,67,5025,6300.669380187988
DQN,68,5100,6352.883270263672
DQN,69,5175,6223.237609863281
DQN,70,5250,6339.75936126709
DQN,71,5325,6336.982597351074
DQN,72,5400,6301.921142578125
DQN,73,5475,6209.176040649414
DQN,74,5550,6334.879959106445
DQN,75,5625,5933.455562591553
DQN,76,5700,6196.598052978516
DQN,77,5775,6301.068893432617
DQN,78,5850,6235.018661499023
DQN,79,5925,6244.776054382324
DQN,80,6000,6243.875679016113
DQN,81,6075,6260.729286193848
DQN,82,6150,6222.197898864746
DQN,83,6225,6293.822395324707
DQN,84,6300,6331.847351074219
DQN,85,6375,6337.553428649902
DQN,86,6450,6347.592224121094
DQN,87,6525,6312.07186126709
DQN,88,6600,6235.47428894043
DQN,89,6675,6287.349380493164
DQN,90,6750,6285.969688415527
DQN,91,6825,6247.862319946289
DQN,92,6900,6361.777244567871
DQN,93,6975,5876.371543884277
DQN,94,7050,6311.810966491699
DQN,95,7125,5919.8443603515625
DQN,96,7200,5941.225978851318
DQN,97,7275,6323.054420471191
DQN,98,7350,6195.883140563965
DQN,99,7425,5904.319427490234
DQN,100,7500,6260.120086669922
DQN,101,7575,6170.338676452637
DQN,102,7650,6217.943298339844
DQN,103,7725,5970.069519042969
DQN,104,7800,5857.545639038086
DQN,105,7875,6252.7694091796875
DQN,106,7950,6208.55339050293
DQN,107,8025,6292.490135192871
DQN,108,8100,6263.671058654785
DQN,109,8175,6280.579536437988
DQN,110,8250,5912.785026550293
DQN,111,8325,5945.5765380859375
DQN,112,8400,6285.1475830078125
DQN,113,8475,5985.910987854004
DQN,114,8550,6312.451683044434
DQN,115,8625,6305.26025390625
DQN,116,8700,6282.43586730957
DQN,117,8775,5955.919937133789
DQN,118,8850,6222.590515136719
DQN,119,8925,6202.126968383789
DQN,120,9000,5984.039909362793
DQN,121,9075,5976.804672241211
DQN,122,9150,6268.354713439941
DQN,123,9225,5932.926193237305
DQN,124,9300,6252.530410766602
DQN,125,9375,6264.277503967285
DQN,126,9450,6237.1627197265625
DQN,127,9525,5929.66881942749
DQN,128,9600,6243.200889587402
DQN,129,9675,6208.749771118164
DQN,130,9750,6387.563529968262
DQN,131,9825,6307.5542068481445
DQN,132,9900,6226.065559387207
DQN,133,9975,6271.063919067383
