algorithm,episode,timesteps,episode_reward
PPO,1,75,5836.417713165283
PPO,2,150,6090.544342041016
PPO,3,225,6130.362957000732
PPO,4,300,6046.468444824219
PPO,5,375,6158.450241088867
PPO,6,450,6130.968505859375
PPO,7,525,5952.185493469238
PPO,8,600,5824.807582855225
PPO,9,675,6017.664733886719
PPO,10,750,6081.381084442139
PPO,11,825,6123.000343322754
PPO,12,900,5909.606800079346
PPO,13,975,6047.702056884766
PPO,14,1050,6032.502784729004
PPO,15,1125,6080.222316741943
PPO,16,1200,5530.7287940979
PPO,17,1275,5516.545463562012
PPO,18,1350,5987.928428649902
PPO,19,1425,5496.396263122559
PPO,20,1500,5633.056205749512
PPO,21,1575,6114.105571746826
PPO,22,1650,6033.857460021973
PPO,23,1725,5984.363452911377
PPO,24,1800,6087.930316925049
PPO,25,1875,5864.536529541016
PPO,26,1950,6155.675804138184
PPO,27,2025,5669.470405578613
PPO,28,2100,5536.810600280762
PPO,29,2175,6194.387180328369
PPO,30,2250,5699.364288330078
PPO,31,2325,6163.057819366455
PPO,32,2400,6039.797130584717
PPO,33,2475,6087.666465759277
PPO,34,2550,5779.8642501831055
PPO,35,2625,6008.81311416626
PPO,36,2700,6178.812034606934
PPO,37,2775,5786.329612731934
PPO,38,2850,5590.209079742432
PPO,39,2925,5972.309097290039
PPO,40,3000,6199.633502960205
PPO,41,3075,6126.135883331299
PPO,42,3150,6173.350959777832
PPO,43,3225,5777.999027252197
PPO,44,3300,6075.534549713135
PPO,45,3375,6148.480167388916
PPO,46,3450,6001.983966827393
PPO,47,3525,5749.833694458008
PPO,48,3600,5717.252895355225
PPO,49,3675,6045.649192810059
PPO,50,3750,6259.0867919921875
PPO,51,3825,5554.117645263672
PPO,52,3900,6050.827171325684
PPO,53,3975,5894.982734680176
PPO,54,4050,6118.952892303467
PPO,55,4125,6095.441925048828
PPO,56,4200,6113.694561004639
PPO,57,4275,5711.293514251709
PPO,58,4350,6067.832736968994
PPO,59,4425,5726.6080322265625
PPO,60,4500,5925.934906005859
PPO,61,4575,5684.033489227295
PPO,62,4650,5660.087993621826
PPO,63,4725,6102.241600036621
PPO,64,4800,5837.228096008301
PPO,65,4875,6118.949977874756
PPO,66,4950,5574.827205657959
PPO,67,5025,6114.191535949707
PPO,68,5100,6272.165298461914
PPO,69,5175,5985.614261627197
PPO,70,5250,6030.263633728027
PPO,71,5325,6202.281120300293
PPO,72,5400,6078.859745025635
PPO,73,5475,5960.863166809082
PPO,74,5550,6176.193801879883
PPO,75,5625,5742.6892738342285
PPO,76,5700,6144.641551971436
PPO,77,5775,6225.3347091674805
PPO,78,5850,5988.180114746094
PPO,79,5925,5977.4467849731445
PPO,80,6000,6005.103839874268
PPO,81,6075,6179.371917724609
PPO,82,6150,5904.815349578857
PPO,83,6225,6153.483100891113
PPO,84,6300,6158.561878204346
PPO,85,6375,6114.25821685791
PPO,86,6450,5994.031116485596
PPO,87,6525,6143.380229949951
PPO,88,6600,6059.394832611084
PPO,89,6675,6130.58309173584
PPO,90,6750,6026.932384490967
PPO,91,6825,6006.6305503845215
PPO,92,6900,6094.502296447754
PPO,93,6975,5625.3875732421875
PPO,94,7050,6174.298397064209
PPO,95,7125,5814.847667694092
PPO,96,7200,5510.067089080811
PPO,97,7275,6172.300388336182
PPO,98,7350,6118.873287200928
PPO,99,7425,5843.167427062988
PPO,100,7500,6049.4474449157715
PPO,101,7575,5979.770614624023
PPO,102,7650,5959.193740844727
PPO,103,7725,5862.104019165039
PPO,104,7800,5807.760322570801
PPO,105,7875,6021.679512023926
PPO,106,7950,6002.814235687256
PPO,107,8025,6104.439609527588
PPO,108,8100,6118.914611816406
PPO,109,8175,6020.809341430664
PPO,110,8250,5630.245628356934
PPO,111,8325,5786.718700408936
PPO,112,8400,5994.308197021484
PPO,113,8475,5604.982494354248
PPO,114,8550,6079.377990722656
PPO,115,8625,5987.555473327637
PPO,116,8700,6108.366653442383
PPO,117,8775,5874.025318145752
PPO,118,8850,5993.818359375
PPO,119,8925,5993.023582458496
PPO,120,9000,5752.957126617432
PPO,121,9075,5597.373416900635
PPO,122,9150,6058.787464141846
PPO,123,9225,5862.961540222168
PPO,124,9300,6008.407497406006
PPO,125,9375,5897.263767242432
PPO,126,9450,6017.910915374756
PPO,127,9525,5686.132915496826
PPO,128,9600,6015.359901428223
PPO,129,9675,6027.158447265625
PPO,130,9750,6076.748889923096
PPO,131,9825,6109.574806213379
PPO,132,9900,5948.658538818359
PPO,133,9975,6122.6078453063965
PPO,134,10050,6139.281215667725
